"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1795001134811148454","Mon May 27 07:56:34 +0000 2024","3","Melihat Hyundai Ioniq 5 N dari jauh sekilas sangat mirip Ioniq 5 biasa. Tapi jangan salah perbedaan antara keduanya cukup signifikan. https://t.co/eDkJ67mYNn","1795001134811148454","","","in","","1","1","1","https://x.com/detikcom/status/1795001134811148454","69183155","detikcom"
"1796211535825740286","Thu May 30 16:06:16 +0000 2024","0","Meski Belum Resmi Dijual Sejumlah Sales Sudah Buka PO Hyundai Kona Electric Terbaru Segini Harganya : PT Hyundai Motor Indonesia (HMID) belum resmi menjual produk terbarunya di Indonesia Hyundai Kona Electric. Namun sejumlah diler telah membuka https://t.co/mL2yn8w6Up https://t.co/PVwZi7SpMM","1796211535825740286","https://pbs.twimg.com/media/GO1s37fakAApNiH.jpg","","in","Pulo Gadung, Indonesia","0","0","1","https://x.com/tvOneNews/status/1796211535825740286","55507370","tvOneNews"
"1794995734032609568","Mon May 27 07:35:07 +0000 2024","0","Insentif Jadi Motivasi Buat Jualan Mobil Hybrid? Ini Jawaban Hyundai https://t.co/1yVHhntK1b","1794995734032609568","","","in","","0","0","0","https://x.com/VIVAcoid/status/1794995734032609568","41730943","VIVAcoid"
"1796130757389484287","Thu May 30 10:45:17 +0000 2024","0","Bukan Nggak Mau Ini Sebabnya Hyundai Belum Bikin LCGC sekelas Brio-Agya https://t.co/I7LNYdPeGY","1796130757389484287","","","in","ÜT: -6.311655,106.753334","0","0","0","https://x.com/detikoto/status/1796130757389484287","80543284","detikoto"
"1796869101450678497","Sat Jun 01 11:39:12 +0000 2024","1","Hyundai Car Sales Data: May 2024 #HyundaiCars #Hyundai #CarSales #May #MayCarSales #HyundaiIndia https://t.co/bBz68IP23g","1796869101450678497","","","in","India","0","3","1","https://x.com/TNTimesDrive/status/1796869101450678497","1050696050976190464","TNTimesDrive"
"1795229523312861400","Mon May 27 23:04:06 +0000 2024","1","Deretan artikel otomotif terpopuler pada Senin (27/5/2024) mulai mobil manual FWD gagal nanjak hingga Hyundai buka suara soal Santa Fe Hybrid. https://t.co/lAFLuOAHtB","1795229523312861400","","","in","Jakarta","0","0","0","https://x.com/kompascom/status/1795229523312861400","23343960","kompascom"
"1796137110443057181","Thu May 30 11:10:32 +0000 2024","0","Hyundai Ioniq 5 Kena Recall di Indonesia Gimana Kia EV6? https://t.co/HBSD9JT2PH","1796137110443057181","","","in","ÜT: -6.311655,106.753334","0","0","0","https://x.com/detikoto/status/1796137110443057181","80543284","detikoto"
"1794985921781416192","Mon May 27 06:56:07 +0000 2024","0","All New Hyundai Santa Fe Hybrid Siap Jadi Pesaing Honda CR-V Hybrid di RI https://t.co/1txcwkxYvR","1794985921781416192","","","in","","0","1","0","https://x.com/VIVAcoid/status/1794985921781416192","41730943","VIVAcoid"
"1796110576172892278","Thu May 30 09:25:06 +0000 2024","4","Pabrikan asal Korea Selatan tersebut merekrut Manfred Harrer seorang insinyur Jerman berusia 51 tahun yang lama berkiprah di dunia otomotif. https://t.co/YEhNwfYosJ","1796110576172892278","","","in","Jakarta","0","0","0","https://x.com/kompascom/status/1796110576172892278","23343960","kompascom"
"1795640536222822478","Wed May 29 02:17:19 +0000 2024","19","Timor dari Kia kalau Hyundai jadinya Bimantara Cakra.","1795640536222822478","","","in","Cipayung, Indonesia","0","7","5","https://x.com/NOTASLIMBOY/status/1795640536222822478","19190361","NOTASLIMBOY"
"1795744534531576194","Wed May 29 09:10:35 +0000 2024","2","Soal Wacana Insentif Mobil Hybrid Hyundai Bakal Tergoda? https://t.co/S8tGuJCZhv","1795744534531576194","","","in","Jakarta","0","0","0","https://x.com/okezonenews/status/1795744534531576194","47274731","okezonenews"
"1796496089757221252","Fri May 31 10:56:59 +0000 2024","162","Hyundai N Vision 74 https://t.co/K2OqREwbeD","1796496089757221252","https://pbs.twimg.com/media/GO5vq42bAAAXZ-r.jpg","","in","Australia","1","3","10","https://x.com/Holden88805/status/1796496089757221252","1035727726424948736","Holden88805"
"1796042072975097945","Thu May 30 04:52:53 +0000 2024","2","Luton Town Cardiff City Crystal Palace Borussia Dortmund FC Saint Pauli Lyon AC Milan AS Roma Lazio Girona Osasuna Galatasaray Sporting CP FC Porto FC Dallas FC Tokyo Gamba Osaka Ulsan Hyundai CD Guadalajara (Chivas) Pachuca Corinthians Botafogo Vasco Da Gama","1796042072975097945","","","in","California, USA","0","0","1","https://x.com/azninho25/status/1796042072975097945","1194196050795364354","azninho25"
"1796005403077357838","Thu May 30 02:27:10 +0000 2024","0","Mobilnya Belum Ada Sales Sudah Jual Hyundai Kona Electric Baru Segini https://t.co/HBfhVlJijR","1796005403077357838","","","in","","0","1","0","https://x.com/VIVAcoid/status/1796005403077357838","41730943","VIVAcoid"
"1796351915917533687","Fri May 31 01:24:06 +0000 2024","0","Hyundai Ioniq 5 yang sempat menempati takhta saat ini hanya bisa terhenti pada peringkat ke-4 di bawah MG4 EV. https://t.co/E1dtoH4hTY","1796351915917533687","","","in","Jakarta","0","0","1","https://x.com/kompascom/status/1796351915917533687","23343960","kompascom"
"1796218105653301279","Thu May 30 16:32:23 +0000 2024","11","2014 Hyundai Elantra Loc...Mile 7 Neat no fault 0243673360 75000ghc Cedi presec volta ayeduase medikal fella minister nana Bawumia sheldon bernard bongo https://t.co/jvL7gyHWIh","1796218105653301279","https://pbs.twimg.com/media/GO1y0N0XMAImAYh.jpg","","in","spintex ","1","1","0","https://x.com/car4u6/status/1796218105653301279","1143994611490283520","car4u6"
"1795772464636821984","Wed May 29 11:01:34 +0000 2024","0","Dipakai Shin Tae Yong dan di KTT G20 Hyundai Bakal Pasarkan Genesis G80 di Indonesia? https://t.co/PM2up63vpB","1795772464636821984","","","in","Jakarta","0","0","0","https://x.com/okezonenews/status/1795772464636821984","47274731","okezonenews"
"1794772818523222513","Sun May 26 16:49:19 +0000 2024","28","Hyundai Sonata or Kia Optima?","1794772818523222513","","","in","Accra, Ghana","3","8","14","https://x.com/fixondennis/status/1794772818523222513","4058805135","fixondennis"
"1795629690688098331","Wed May 29 03:12:17 +0000 2024","17","@emhatot_ @erasmus70 Hyundai dipegang abangnya","1795654366801924141","","emhatot_","in","where ever u need","0","1","0","https://x.com/joki_berbakat/status/1795654366801924141","900033730361688064","joki_berbakat"
"1796855226684825753","Sat Jun 01 10:44:04 +0000 2024","1","Daftar Harga Mobil Hyundai Palisade Terbaru Mulai Rp1 07 Miliar https://t.co/v0g4rTlHZZ","1796855226684825753","","","in","Jakarta, Indonesia","0","2","0","https://x.com/Bisniscom/status/1796855226684825753","118646322","Bisniscom"
"1796799556018909615","Sat Jun 01 07:02:51 +0000 2024","14","Meine Dividenden im Mai 2024 (Teil 3) German American Bancorp Jungheinrich Iberdrola E.on Symrise BMW Vz. SAP Daimler Truck Deutsche Bank Hyundai Motor Land+Houses PCL United Rentals Adidas ENI Fastenal United Internet Bank of Ayudhya Delek US Astra Agro Komercni Banka Walmart","1796799556018909615","","","in","Berlin, Germany","0","1","0","https://x.com/Tiefseher/status/1796799556018909615","281766494","Tiefseher"
"1796324449131839942","Thu May 30 23:39:26 +0000 2024","503","DISAAT PERUSAHAAN MACAM HP DAN HYUNDAI MENYEDIAKAN ALAT DAN TEKNOLOGI UNTUK ISRAEL MENINDAS DAN MENGUSIR WARGA PALESTINA DARI RUMAH MEREKA GUE RASA SPOTIFY CUMAN GITU DOANG DI PRESS RELEASE GA ADA APA-APANYA DAN GA AKAN BERDAMPAK LANGSUNG! Y ALL CRAYONS JUST WANT TO LOOK GOOD","1796325577559052358","","tilehopper","in","In your phone","15","2","65","https://x.com/tilehopper/status/1796325577559052358","1249662133916192768","tilehopper"
"1796100633025814869","Thu May 30 08:45:35 +0000 2024","0","Kia turut melakukan recall mobil listrik EV6 yang menggunakan platform yang sama dengan Hyundai Ioniq 5 yakni E-GMP. https://t.co/CuuXpreeEn","1796100633025814869","","","in","Jakarta","0","0","0","https://x.com/kompascom/status/1796100633025814869","23343960","kompascom"
